,id,country,country_code,country_population,province,county,last_updated,coordinates.latitude,coordinates.longitude,latest.confirmed,latest.deaths,latest.recovered
0,0,US,US,327167434,California,"Los Angeles County, California",2021-05-06T16:31:00Z,34.053490000000004,-118.24532,1234405,24191,0
1,1,US,US,327167434,California,"Riverside County, California",2021-05-06T16:31:00Z,33.98171,-117.37404,298872,4576,0
2,2,US,US,327167434,California,"San Bernardino County, California",2021-05-06T16:31:00Z,34.10524,-117.29412,296257,4448,0
3,3,US,US,327167434,California,"San Diego County, California",2021-05-06T16:31:00Z,32.71568,-117.16171,277097,3716,0
4,4,US,US,327167434,California,"Orange County, California",2021-05-06T16:31:00Z,33.78787,-117.85071,254163,4979,0
5,5,US,US,327167434,California,"Santa Clara County, California",2021-05-06T16:31:00Z,37.35579,-121.95508999999998,118593,2073,0
6,6,US,US,327167434,California,"Kern County, California",2021-05-06T16:31:00Z,35.34281638,-118.7299395,108822,1361,0
7,7,US,US,327167434,California,"Sacramento County, California",2021-05-06T16:31:00Z,38.57944000000001,-121.49085,103595,1667,0
8,8,US,US,327167434,California,"Fresno County, California",2021-05-06T16:31:00Z,36.74084000000001,-119.78552,101451,1678,0
9,9,US,US,327167434,California,"Alameda County, California",2021-05-06T16:31:00Z,37.76683,-122.2453,87372,1539,0
10,10,US,US,327167434,California,"Ventura County, California",2021-05-06T16:31:00Z,34.28082,-119.29232,80776,1009,0
11,11,US,US,327167434,California,"San Joaquin County, California",2021-05-06T16:31:00Z,37.93479557,-121.2713112,72784,1384,0
12,12,US,US,327167434,California,"Contra Costa County, California",2021-05-06T16:31:00Z,37.91793732,-121.9259354,68279,787,0
13,13,US,US,327167434,California,"Stanislaus County, California",2021-05-06T16:31:00Z,37.55932622,-120.9976619,55105,1050,0
14,14,US,US,327167434,California,"Tulare County, California",2021-05-06T16:31:00Z,36.20649,-119.34305,49585,837,0
15,15,US,US,327167434,California,"Monterey County, California",2021-05-06T16:31:00Z,36.21714603,-121.2390196,43506,382,0
16,16,US,US,327167434,California,"San Mateo County, California",2021-05-06T16:31:00Z,37.54704,-122.31485,41653,567,0
17,17,US,US,327167434,California,"Solano County, California",2021-05-06T16:31:00Z,38.27793363,-121.9272405,39766,216,0
18,18,US,US,327167434,California,"San Francisco County, California",2021-05-06T16:31:00Z,37.77712,-122.41964,36234,538,0
19,19,US,US,327167434,California,"Santa Barbara County, California",2021-05-06T16:31:00Z,34.41938,-119.69905,34261,450,0
20,20,US,US,327167434,California,"Merced County, California",2021-05-06T16:31:00Z,37.19187429,-120.717739,31701,454,0
21,21,US,US,327167434,California,"Sonoma County, California",2021-05-06T16:31:00Z,38.29188,-122.45728,29921,312,0
22,22,US,US,327167434,California,"Imperial County, California",2021-05-06T16:31:00Z,32.84748,-115.56952,27862,720,0
23,23,US,US,327167434,California,"Kings County, California",2021-05-06T16:31:00Z,36.07543071,-119.8153541,22993,246,0
