state,county,NAME,Doctorate degree ,Professional school degree,Masters degree,Bachelors degree,population_size
17,051,"Fayette County, Illinois",23,60,420,1224,15303
17,107,"Logan County, Illinois",124,138,975,2822,20373
17,165,"Saline County, Illinois",71,139,884,2194,17113
17,097,"Lake County, Illinois",8568,15082,62289,121501,457676
17,127,"Massac County, Illinois",23,36,326,1011,10021
17,017,"Cass County, Illinois",16,31,316,921,8503
18,069,"Huntington County, Indiana",78,210,1487,3247,25019
18,181,"White County, Indiana",69,117,745,1789,16625
18,075,"Jay County, Indiana",57,27,484,999,13745
18,145,"Shelby County, Indiana",101,203,1551,3910,30884
18,153,"Sullivan County, Indiana",27,47,558,1172,14914
18,157,"Tippecanoe County, Indiana",4504,1962,11913,22605,105826
18,057,"Hamilton County, Indiana",5249,8953,32084,78268,209983
18,005,"Bartholomew County, Indiana",723,493,6598,10923,55986
18,049,"Fulton County, Indiana",31,28,709,1420,13842
18,113,"Noble County, Indiana",114,198,947,3071,31520
18,019,"Clark County, Indiana",641,707,4164,11587,80741
18,063,"Hendricks County, Indiana",1195,1660,10482,26982,108921
18,053,"Grant County, Indiana",397,418,2518,4555,44057
18,071,"Jackson County, Indiana",70,233,1391,3320,29972
18,119,"Owen County, Indiana",29,91,621,1219,14959
18,183,"Whitley County, Indiana",117,281,1124,3320,23372
18,023,"Clinton County, Indiana",41,140,954,2318,21158
18,161,"Union County, Indiana",46,41,265,581,5038
18,029,"Dearborn County, Indiana",279,306,1984,5262,34269
18,093,"Lawrence County, Indiana",195,164,1599,3120,32163
18,123,"Perry County, Indiana",25,239,717,1213,13615
18,129,"Posey County, Indiana",102,129,915,2782,17933
18,015,"Carroll County, Indiana",73,67,483,1713,14011
18,045,"Fountain County, Indiana",18,84,481,1129,11517
18,149,"Starke County, Indiana",66,59,483,1267,15797
18,055,"Greene County, Indiana",37,236,897,2211,22764
19,011,"Benton County, Iowa",64,164,903,2794,17751
19,061,"Dubuque County, Iowa",777,1161,5181,12828,64854
19,151,"Pocahontas County, Iowa",23,33,95,580,4877
19,177,"Van Buren County, Iowa",30,9,222,464,5018
19,003,"Adams County, Iowa",4,25,67,318,2662
19,009,"Audubon County, Iowa",15,21,170,482,4030
19,051,"Davis County, Iowa",19,29,209,832,5592
19,093,"Ida County, Iowa",25,34,138,694,4793
19,135,"Monroe County, Iowa",9,22,109,792,5371
19,167,"Sioux County, Iowa",257,286,1314,4173,20725
19,025,"Calhoun County, Iowa",30,87,326,863,6997
19,033,"Cerro Gordo County, Iowa",200,482,1495,5040,30568
19,083,"Hardin County, Iowa",87,104,626,1707,12155
19,117,"Lucas County, Iowa",20,63,125,806,5956
19,147,"Palo Alto County, Iowa",40,95,307,1124,6145
19,087,"Henry County, Iowa",46,69,592,1974,13657
19,099,"Jasper County, Iowa",183,287,882,3537,26027
19,157,"Poweshiek County, Iowa",210,272,874,1788,12033
19,043,"Clayton County, Iowa",29,117,364,1740,12709
19,017,"Bremer County, Iowa",252,215,1260,3309,16428
19,063,"Emmet County, Iowa",21,21,264,913,6476
19,081,"Hancock County, Iowa",17,75,284,1453,7682
19,097,"Jackson County, Iowa",62,111,647,1798,13639
19,111,"Lee County, Iowa",51,181,855,2893,24245
19,181,"Warren County, Iowa",303,538,2162,7495,32901
19,123,"Mahaska County, Iowa",54,88,831,2314,14944
19,041,"Clay County, Iowa",57,169,474,1885,11372
19,055,"Delaware County, Iowa",28,51,488,1394,11792
13,005,"Bacon County, Georgia",25,69,207,468,7354
13,025,"Brantley County, Georgia",38,145,396,552,12768
13,017,"Ben Hill County, Georgia",58,69,287,841,11161
13,033,"Burke County, Georgia",113,117,463,1257,14728
13,047,"Catoosa County, Georgia",333,613,2091,6795,45959
13,053,"Chattahoochee County, Georgia",19,43,376,1072,5122
13,055,"Chattooga County, Georgia",51,138,435,904,17107
13,073,"Columbia County, Georgia",1966,2766,9168,22482,100048
13,087,"Decatur County, Georgia",148,159,720,1417,17744
13,115,"Floyd County, Georgia",620,1502,3907,7508,64816
13,117,"Forsyth County, Georgia",2120,3047,22193,51327,148069
13,137,"Habersham County, Georgia",342,588,1690,3237,30284
13,147,"Hart County, Georgia",89,291,674,1870,18641
13,185,"Lowndes County, Georgia",872,1156,4743,10469,68109
13,191,"McIntosh County, Georgia",193,105,475,1175,11057
13,199,"Meriwether County, Georgia",17,59,534,931,14815
13,207,"Monroe County, Georgia",368,480,1496,2765,19060
13,237,"Putnam County, Georgia",43,395,977,2251,15687
13,261,"Sumter County, Georgia",278,314,876,2006,19035
13,265,"Taliaferro County, Georgia",7,12,17,64,1235
13,301,"Warren County, Georgia",15,30,119,317,3899
19,185,"Wayne County, Iowa",6,33,131,383,4363
19,163,"Scott County, Iowa",1341,2353,10145,23285,116769
20,181,"Sherman County, Kansas",17,7,175,693,4095
20,193,"Thomas County, Kansas",49,45,219,820,5015
20,127,"Morris County, Kansas",17,37,188,623,4041
20,163,"Rooks County, Kansas",15,25,184,604,3586
20,025,"Clark County, Kansas",0,15,71,283,1413
20,077,"Harper County, Kansas",17,44,201,366,3868
20,111,"Lyon County, Kansas",221,347,1605,3296,19903
20,145,"Pawnee County, Kansas",16,78,147,728,4956
20,033,"Comanche County, Kansas",0,3,31,166,1248
20,063,"Gove County, Kansas",6,17,49,307,1925
20,079,"Harvey County, Kansas",224,392,2265,4662,22727
20,093,"Kearny County, Kansas",24,24,107,185,2306
20,113,"McPherson County, Kansas",170,238,1153,3874,19422
05,041,"Desha County, Arkansas",46,39,205,810,7826
05,049,"Fulton County, Arkansas",4,31,221,827,8851
05,061,"Howard County, Arkansas",0,67,227,898,8781
05,051,"Garland County, Arkansas",565,1022,3916,9961,71467
05,093,"Mississippi County, Arkansas",193,227,982,2369,27251
